                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.92005,                0.50281,                0.99913,                0.97001,                0.94085,                0.96276,                0.73448,                0.86036,                0.45251,                0.95844,             0.00029723,             0.00029723,             0.00029723
                     86,                0.94635,                0.50459,                0.98107,                0.98322,                 0.9338,                0.96126,                0.74357,                0.83156,                0.44332,                 0.9451,             0.00028072,             0.00028072,             0.00028072
                     87,                0.93093,                0.49421,                0.99575,                0.98553,                0.92861,                 0.9639,                0.74664,                0.84426,                0.43811,                 0.9484,             0.00026422,             0.00026422,             0.00026422
                     88,                 0.9117,                0.49157,                0.97621,                0.98445,                0.92426,                0.96379,                0.75039,                 0.8283,                0.43302,                0.94727,             0.00024772,             0.00024772,             0.00024772
                     89,                0.94022,                 0.5011,                0.99756,                0.98927,                0.92217,                0.96434,                 0.7532,                 0.8189,                0.42324,                0.94545,             0.00023121,             0.00023121,             0.00023121
                     90,                0.92903,                0.48607,                0.97249,                0.98604,                0.92203,                0.96197,                0.74866,                0.82216,                0.42815,                0.94068,             0.00021471,             0.00021471,             0.00021471
                     91,                0.88757,                0.50362,                0.97185,                0.97488,                0.92743,                0.96021,                0.74732,                0.83408,                0.44407,                0.94184,             0.00019821,             0.00019821,             0.00019821
                     92,                 0.8956,                0.49217,                0.97743,                0.98577,                0.92897,                0.96116,                0.74815,                0.82078,                0.43477,                0.93837,              0.0001817,              0.0001817,              0.0001817
                     93,                0.89648,                0.47331,                0.98681,                0.99514,                0.92174,                0.96136,                0.74914,                 0.8221,                0.43754,                0.93707,              0.0001652,              0.0001652,              0.0001652
                     94,                0.88716,                0.46482,                0.96751,                 0.9918,                0.92186,                0.96336,                0.75322,                0.81647,                 0.4277,                0.93846,              0.0001487,              0.0001487,              0.0001487
                     95,                0.90057,                0.46768,                 1.0301,                0.98717,                 0.9232,                0.96292,                0.75323,                0.81097,                0.42425,                0.93516,             0.00013219,             0.00013219,             0.00013219
                     96,                0.86765,                 0.4576,                0.98988,                0.99133,                0.92775,                0.96384,                0.75181,                0.81279,                0.42301,                0.93343,             0.00011569,             0.00011569,             0.00011569
                     97,                0.84714,                0.44804,                0.95212,                0.99383,                0.93005,                0.96367,                0.75743,                0.80759,                0.42071,                0.93235,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                0.86239,                0.45582,                0.97598,                0.98867,                0.93119,                0.96471,                0.75967,                 0.8082,                0.41866,                0.93304,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                0.86545,                 0.4542,                0.96742,                0.98893,                0.92679,                0.96613,                0.76175,                0.80462,                0.41598,                0.93289,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                0.86831,                0.44844,                0.96928,                0.98145,                 0.9369,                0.96798,                0.75964,                0.79788,                0.41287,                0.93106,             4.9677e-05,             4.9677e-05,             4.9677e-05
